#Paper	PMID	GSE	Platform	Experiment	Type	GSM	Tissue	Life_stage	Genotype	Species
WBPaper00035224	19778439	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000002.Hermaphrodite.WBbt:0007833.PRJNA79457.SRX007173	RNASeq	SRX007173	WBbt:0007833	WBls:0000002	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000002.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028190	RNASeq	SRX028190	WBbt:0007833	WBls:0000002	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000002.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028191	RNASeq	SRX028191	WBbt:0007833	WBls:0000002	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000002.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028204	RNASeq	SRX028204	WBbt:0007833	WBls:0000002	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000003.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006984	RNASeq	SRX006984	WBbt:0007833	WBls:0000003	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000003.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006985	RNASeq	SRX006985	WBbt:0007833	WBls:0000003	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000003.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006986	RNASeq	SRX006986	WBbt:0007833	WBls:0000003	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000004.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX004863	RNASeq	SRX004863	WBbt:0007833	WBls:0000004	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000004.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX037186	RNASeq	SRX037186	WBbt:0007833	WBls:0000004	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000004.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX037197	RNASeq	SRX037197	WBbt:0007833	WBls:0000004	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000006.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX099901	RNASeq	SRX099901	WBbt:0007833	WBls:0000006	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000006.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX099902	RNASeq	SRX099902	WBbt:0007833	WBls:0000006	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000007.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX099907	RNASeq	SRX099907	WBbt:0007833	WBls:0000007	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000007.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX099908	RNASeq	SRX099908	WBbt:0007833	WBls:0000007	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000008.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX085219	RNASeq	SRX085219	WBbt:0007833	WBls:0000008	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000009.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX099915	RNASeq	SRX099915	WBbt:0007833	WBls:0000009	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000010.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX085217	RNASeq	SRX085217	WBbt:0007833	WBls:0000010	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000010.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX085220	RNASeq	SRX085220	UBERON:0001062	WBls:0000008	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000021.Hermaphrodite.WBbt:0005451.PRJNA33023.SRX085286	RNASeq	SRX085286	WBbt:0005451	WBls:0000021	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000021.Hermaphrodite.WBbt:0005451.PRJNA33023.SRX085287	RNASeq	SRX085287	WBbt:0005451	WBls:0000021	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000021.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX004866	RNASeq	SRX004866	WBbt:0007833	WBls:0000021	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000021.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX047446	RNASeq	SRX047446	WBbt:0007833	WBls:0000021	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000023.Hermaphrodite.WBbt:0007833.PRJNA174814.SRX185637	RNASeq	SRX185637	WBbt:0007833	WBls:0000023	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000023.Hermaphrodite.WBbt:0007833.PRJNA174814.SRX185639	RNASeq	SRX185639	WBbt:0007833	WBls:0000023	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX037288	RNASeq	SRX037288	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037732	20980554	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA51225.SRX026729	RNASeq	SRX026729	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032006	18611272	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA79387.SRX017684	RNASeq	SRX017684	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028197	RNASeq	SRX028197	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028201	RNASeq	SRX028201	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006987	RNASeq	SRX006987	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006988	RNASeq	SRX006988	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000024.Hermaphrodite.WBbt:0007833.PRJNA168961.SRX006989	RNASeq	SRX006989	WBbt:0007833	WBls:0000024	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000027.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX047653	RNASeq	SRX047653	WBbt:0007833	WBls:0000027	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000027.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028198	RNASeq	SRX028198	WBbt:0007833	WBls:0000027	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000027.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028202	RNASeq	SRX028202	WBbt:0007833	WBls:0000027	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036881	RNASeq	SRX036881	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037732	20980554	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA51225.SRX026728	RNASeq	SRX026728	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028199	RNASeq	SRX028199	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028203	RNASeq	SRX028203	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Male.WBbt:0005062.PRJNA174814.SRX185660	RNASeq	SRX185660	WBbt:0005062	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX008144	RNASeq	SRX008144	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00035224	19778439	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA79457.SRX007069	RNASeq	SRX007069	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028200	RNASeq	SRX028200	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Male.WBbt:0005062.PRJNA174814.SRX185661	RNASeq	SRX185661	WBbt:0005062	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Male.WBbt:0007833.PRJNA33023.SRX050630	RNASeq	SRX050630	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX035162	RNASeq	SRX035162	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036882	RNASeq	SRX036882	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036967	RNASeq	SRX036967	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036969	RNASeq	SRX036969	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036970	RNASeq	SRX036970	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00035224	19778439	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.PRJNA79457.SRX007170	RNASeq	SRX007170	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.SRP016006.SRX191947	RNASeq	SRX191947	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.SRP016006.SRX191948	RNASeq	SRX191948	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Hermaphrodite.WBbt:0007833.SRP016006.SRX191949	RNASeq	SRX191949	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Male.WBbt:0007833.SRP016006.SRX191950	RNASeq	SRX191950	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Male.WBbt:0007833.SRP016006.SRX191951	RNASeq	SRX191951	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041689	23103191	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000041.Male.WBbt:0007833.SRP016006.SRX191952	RNASeq	SRX191952	WBbt:0007833	WBls:0000041	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000063.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX047787	RNASeq	SRX047787	WBbt:0007833	WBls:0000063	C. elegans wild isolate.	Caenorhabditis elegans
