"#libraryId"	"platformOld"	"platformNew"	"platformSRA"	"platformGEO"	"platformPaper"	"comment"	"annotatorId"	"lastModificationDate"
"ERX012363"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012348"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012344"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012362"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012378"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012374"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012345"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012366"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012358"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012351"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012369"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012379"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012370"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012346"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012377"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012375"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012364"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012361"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012352"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012368"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012367"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012357"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012371"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012349"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012372"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012359"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012356"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012347"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012365"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012354"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012373"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012376"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012360"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012353"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012355"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"ERX012350"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer IIx"	"Both GEO and SRA are wrong, we kept what was indicated in the paper, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170579093"	"JR"	"2016-01-12"
"SRX323031"	"Illumina Genome Analyzer IIx"	"Illumina HiSeq 2000"	"Illumina HiSeq 2000"	"Illumina HiSeq 2000"	"Illumina HiSeq 2000"	"Annotation error, see https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170584287"	"ANN"	"2016-01-11"
"SRX018864"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer II"	"Illumina Genome Analyzer"	"Illumina Genome Analyzer II"	"Illumina"	"Another ModENCODE mess... From the sample name (GSM509821: Head_Dmel_Female (GA II)) it is likely Illumina GAII, so SRA wrong and no change made. See https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-168948504, https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-168949518, and https://github.com/BgeeDB/expression-annotations/issues/98#issuecomment-170598340"	"JR"	"2016-01-12"
